                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     11,                0.93236,                0.59223,                0.96266,                0.94754,                0.91709,                0.96754,                0.72664,                 1.0634,                0.78209,                 1.0649,             0.00052188,             0.00052188,             0.00052188
                     12,                0.93044,                0.52672,                0.97566,                 0.9445,                 0.9151,                0.96981,                0.72095,                 1.0061,                0.74304,                 1.0223,             0.00051156,             0.00051156,             0.00051156
                     13,                0.91768,                0.55195,                 0.9752,                0.95297,                0.93343,                0.96802,                0.72678,                 1.1003,                0.72262,                 1.0676,             0.00050125,             0.00050125,             0.00050125
                     14,                0.93681,                0.52817,                0.98642,                0.94749,                0.90704,                0.96116,                0.73506,                 1.0064,                0.65909,                 1.0315,             0.00049094,             0.00049094,             0.00049094
                     15,                0.89307,                0.50914,                0.96164,                0.95283,                0.92176,                 0.9695,                0.73567,                 1.0325,                0.63982,                  1.032,             0.00048062,             0.00048062,             0.00048062
                     16,                0.92122,                0.50286,                0.97466,                0.94791,                0.93349,                0.96796,                0.73859,                 1.0081,                0.65375,                 1.0279,             0.00047031,             0.00047031,             0.00047031
                     17,                0.88097,                0.48684,                0.96234,                0.96355,                0.93878,                0.96811,                0.72303,                 1.0315,                0.65405,                 1.0369,                0.00046,                0.00046,                0.00046
                     18,                0.89342,                0.49034,                0.96406,                0.95212,                0.94918,                 0.9739,                0.72656,                 1.0068,                0.60884,                 1.0176,             0.00044969,             0.00044969,             0.00044969
                     19,                0.88745,                0.48788,                0.95619,                 0.9629,                0.92915,                0.96813,                0.73939,                0.98588,                 0.6266,                 1.0208,             0.00043937,             0.00043937,             0.00043937
                     20,                0.87054,                0.48917,                0.96052,                0.95251,                0.94196,                0.96668,                0.74432,                 1.0115,                0.67153,                 1.0348,             0.00042906,             0.00042906,             0.00042906
                     21,                0.86865,                 0.4862,                0.95509,                0.95876,                0.93826,                0.96623,                0.72898,                 1.0458,                0.69325,                 1.0566,             0.00041875,             0.00041875,             0.00041875
                     22,                0.86229,                0.47417,                0.95154,                0.95698,                0.92623,                0.97017,                0.73944,                 1.0085,                0.62564,                 1.0309,             0.00040844,             0.00040844,             0.00040844
                     23,                0.84901,                0.45886,                0.94934,                0.96298,                0.93118,                   0.97,                0.74555,                 1.0103,                0.63353,                  1.018,             0.00039813,             0.00039813,             0.00039813
                     24,                0.83972,                0.51552,                0.95145,                0.93609,                0.93823,                0.96659,                 0.7337,                 1.0016,                 0.6126,                 1.0222,             0.00038781,             0.00038781,             0.00038781
                     25,                0.83546,                 0.4546,                0.94536,                0.93939,                0.91556,                0.96667,                0.73302,                0.98744,                0.68565,                 1.0308,              0.0003775,              0.0003775,              0.0003775
                     26,                0.86007,                0.46046,                0.94969,                0.96059,                0.92274,                 0.9657,                0.73728,                0.99656,                0.66319,                 1.0178,             0.00036719,             0.00036719,             0.00036719
                     27,                0.83595,                0.44536,                0.94183,                 0.9627,                 0.9259,                0.97337,                0.73094,                 1.0624,                0.62046,                 1.0433,             0.00035687,             0.00035687,             0.00035687
                     28,                0.83097,                0.44147,                0.93756,                0.94686,                0.94488,                0.96859,                 0.7372,                0.98102,                0.60203,                 1.0192,             0.00034656,             0.00034656,             0.00034656
                     29,                0.81928,                0.43053,                0.93316,                0.96174,                 0.9379,                0.97138,                0.74283,                 1.0029,                0.61681,                 1.0179,             0.00033625,             0.00033625,             0.00033625
                     30,                0.82529,                0.43385,                0.93131,                0.94872,                0.93766,                0.96689,                0.74107,                0.99049,                0.59347,                 1.0242,             0.00032594,             0.00032594,             0.00032594
                     31,                0.82727,                0.43856,                0.94381,                0.96042,                0.93613,                0.97117,                0.74512,                 1.0278,                0.64642,                 1.0418,             0.00031562,             0.00031562,             0.00031562
                     32,                0.81588,                0.43241,                0.93231,                0.97603,                0.93484,                0.97271,                0.75029,                  1.008,                0.60081,                 1.0278,             0.00030531,             0.00030531,             0.00030531
                     33,                0.80657,                0.42907,                0.93558,                0.95609,                0.93635,                0.96855,                0.74424,                0.98054,                0.59775,                 1.0155,               0.000295,               0.000295,               0.000295
                     34,                0.79351,                0.40301,                0.93761,                0.95823,                0.94236,                0.96861,                0.74127,                0.97343,                  0.551,                 1.0163,             0.00028469,             0.00028469,             0.00028469
                     35,                0.80178,                0.40663,                0.93571,                0.96448,                0.93554,                0.97346,                0.75566,                0.96154,                0.55569,                 1.0158,             0.00027437,             0.00027437,             0.00027437
                     36,                  0.781,                0.40981,                0.92157,                0.97363,                0.94114,                0.97278,                0.75354,                0.98065,                0.57423,                 1.0186,             0.00026406,             0.00026406,             0.00026406
                     37,                0.77243,                0.39947,                0.92673,                0.96014,                0.94512,                0.96949,                0.74795,                0.98964,                0.58889,                 1.0135,             0.00025375,             0.00025375,             0.00025375
                     38,                0.76935,                0.40125,                0.91635,                0.96761,                0.94541,                0.97108,                 0.7523,                0.97307,                0.55604,                  1.013,             0.00024344,             0.00024344,             0.00024344
                     39,                0.76401,                0.40065,                0.92094,                 0.9492,                0.94508,                0.96776,                0.74407,                0.99212,                0.55555,                  1.012,             0.00023313,             0.00023313,             0.00023313
                     40,                0.74417,                0.39613,                0.91266,                0.95592,                0.94846,                0.96863,                0.74778,                0.97315,                0.56301,                 1.0103,             0.00022281,             0.00022281,             0.00022281
                     41,                0.75325,                0.39154,                0.91789,                0.95904,                0.94413,                0.97019,                0.75453,                0.99548,                0.55673,                  1.018,              0.0002125,              0.0002125,              0.0002125
                     42,                0.74908,                 0.3898,                0.91819,                0.95554,                0.94781,                0.96737,                0.74466,                0.98699,                0.58519,                 1.0163,             0.00020219,             0.00020219,             0.00020219
                     43,                 0.7534,                0.41214,                0.91747,                0.96239,                0.94243,                0.96992,                0.75003,                0.98677,                0.57425,                 1.0127,             0.00019188,             0.00019188,             0.00019188
                     44,                0.76406,                0.38375,                0.93212,                0.95793,                0.93363,                0.97104,                0.75644,                 0.9938,                0.54788,                 1.0147,             0.00018156,             0.00018156,             0.00018156
                     45,                0.73533,                0.38777,                0.91562,                0.95262,                0.93728,                0.96594,                0.75312,                0.98232,                0.55711,                 1.0197,             0.00017125,             0.00017125,             0.00017125
                     46,                 0.7439,                0.37748,                0.91638,                0.96304,                0.93779,                 0.9673,                 0.7564,                0.96968,                0.55124,                 1.0219,             0.00016094,             0.00016094,             0.00016094
                     47,                0.71783,                0.35991,                0.90107,                0.96632,                0.94088,                0.97078,                0.75391,                0.99039,                0.56778,                 1.0163,             0.00015062,             0.00015062,             0.00015062
                     48,                0.72473,                0.36806,                0.91285,                0.96017,                0.94143,                0.97164,                0.74974,                0.99466,                0.53979,                 1.0169,             0.00014031,             0.00014031,             0.00014031
                     49,                0.72156,                 0.3756,                0.90746,                0.95752,                 0.9395,                0.96715,                 0.7539,                  1.003,                0.53988,                 1.0215,                0.00013,                0.00013,                0.00013
                     50,                0.69519,                0.35757,                0.89726,                0.95081,                0.94739,                 0.9718,                0.76024,                0.95371,                0.54125,                0.99791,             0.00011969,             0.00011969,             0.00011969
                     51,                0.71722,                0.36821,                0.91453,                0.96931,                0.94189,                0.97339,                0.76216,                 0.9706,                 0.5339,                 1.0236,             0.00010937,             0.00010937,             0.00010937
                     52,                0.69961,                 0.3548,                0.90031,                0.97155,                0.94493,                0.97522,                0.75529,                0.97369,                0.51853,                 1.0051,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     53,                0.67899,                0.34909,                0.87655,                0.95926,                0.94395,                0.97471,                 0.7652,                0.97889,                0.52864,                 1.0089,              8.875e-05,              8.875e-05,              8.875e-05
                     54,                0.71118,                 0.3517,                0.90584,                0.96794,                0.93769,                0.97324,                 0.7598,                0.99228,                0.52223,                 1.0142,             7.8438e-05,             7.8438e-05,             7.8438e-05
                     55,                0.68482,                0.36162,                0.88262,                 0.9676,                 0.9388,                0.97135,                0.75607,                0.97706,                0.52303,                  1.008,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     56,                0.67931,                0.34188,                0.89813,                0.96739,                0.94301,                0.97271,                0.76139,                0.97565,                0.53787,                 1.0066,             5.7813e-05,             5.7813e-05,             5.7813e-05
                     57,                0.68882,                0.35245,                0.89682,                0.95361,                0.95384,                0.97185,                0.76226,                0.97486,                0.52354,                 1.0071,               4.75e-05,               4.75e-05,               4.75e-05
                     58,                0.66875,                0.37236,                0.87522,                0.96509,                0.94258,                0.97264,                0.75762,                0.97469,                0.52202,                 1.0091,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     59,                0.66776,                0.33582,                 0.8874,                0.95056,                0.94742,                0.97208,                0.75831,                0.97463,                0.52375,                   1.01,             2.6875e-05,             2.6875e-05,             2.6875e-05
