                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5246,                 2.6489,                 1.2222,                0.50148,                0.59636,                0.59697,                0.41877,                 1.1453,                  1.741,                 1.0073,              0.0002036,              0.0002036,              0.0002036
                      1,                 1.1861,                 1.1237,                 1.0475,                0.80585,                0.77976,                0.85939,                0.61598,                  1.117,                 1.0699,                 1.0388,             0.00040513,             0.00040513,             0.00040513
                      2,                 1.1384,                0.91103,                 1.0483,                0.90593,                0.83707,                0.92596,                0.67174,                 1.0661,                0.96543,                 1.0316,              0.0005998,              0.0005998,              0.0005998
                      3,                 1.1094,                0.79753,                 1.0534,                0.89528,                0.88806,                0.93804,                 0.6748,                 1.1115,                0.92455,                 1.0673,             0.00059406,             0.00059406,             0.00059406
                      4,                 1.1435,                0.76086,                  1.056,                0.92749,                  0.862,                0.94467,                0.70696,                 1.0578,                0.90811,                 1.0365,             0.00059406,             0.00059406,             0.00059406
                      5,                  1.053,                0.71473,                 1.0182,                0.93831,                0.86464,                0.95096,                0.70116,                 1.0707,                0.94291,                 1.0411,             0.00058375,             0.00058375,             0.00058375
                      6,                 1.0317,                0.65908,                  1.022,                 0.8998,                0.91787,                0.95287,                0.70818,                 1.0514,                0.76831,                 1.0198,             0.00057344,             0.00057344,             0.00057344
                      7,                 1.0352,                0.63773,                 1.0206,                0.93561,                0.92262,                0.95786,                0.72569,                 1.0712,                0.74606,                 1.0452,             0.00056313,             0.00056313,             0.00056313
                      8,                0.98726,                0.59139,                0.99844,                0.90355,                0.93261,                0.95892,                0.72618,                   1.04,                0.82366,                 1.0411,             0.00055281,             0.00055281,             0.00055281
                      9,                 1.0004,                0.59617,                  1.008,                0.95418,                0.91642,                0.96269,                0.73144,                 1.0357,                0.76725,                 1.0373,              0.0005425,              0.0005425,              0.0005425
                     10,                0.98147,                0.57083,                0.99437,                0.90739,                 0.9391,                 0.9609,                0.71114,                 1.0612,                0.71926,                 1.0292,             0.00053219,             0.00053219,             0.00053219
