                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78257,                0.40067,                0.92659,                0.95664,                0.93354,                 0.9714,                0.75513,                0.97295,                0.60313,                 1.0077,             0.00020425,             0.00020425,             0.00020425
                     36,                0.76235,                0.39998,                0.91361,                0.94706,                0.94339,                0.97377,                0.75053,                0.98371,                0.61165,                  1.012,             0.00019188,             0.00019188,             0.00019188
                     37,                0.75867,                0.39233,                0.91954,                0.94922,                0.94066,                0.97095,                0.75102,                0.98398,                0.61812,                 1.0063,              0.0001795,              0.0001795,              0.0001795
                     38,                 0.7574,                0.39593,                0.91062,                0.96111,                0.93648,                0.97469,                0.76186,                0.95012,                0.56734,                0.99406,             0.00016713,             0.00016713,             0.00016713
                     39,                0.74755,                0.39088,                0.91305,                0.94899,                0.92897,                0.96973,                0.75668,                0.98961,                0.60249,                 1.0074,             0.00015475,             0.00015475,             0.00015475
                     40,                0.72814,                0.38368,                0.90575,                0.95922,                0.93254,                0.97343,                0.75614,                0.96131,                0.58965,                 1.0044,             0.00014237,             0.00014237,             0.00014237
                     41,                  0.733,                0.37825,                0.90788,                0.96881,                0.91982,                0.97065,                0.75772,                0.98079,                0.61243,                 1.0073,                0.00013,                0.00013,                0.00013
                     42,                0.73805,                0.37718,                0.91024,                0.96231,                0.92939,                0.96814,                0.75536,                0.96332,                0.66018,                 1.0085,             0.00011763,             0.00011763,             0.00011763
                     43,                0.73003,                0.38409,                0.90782,                0.95142,                0.93371,                0.96483,                0.75398,                0.96442,                0.62667,                 1.0075,             0.00010525,             0.00010525,             0.00010525
                     44,                0.74588,                0.37341,                0.92271,                0.96225,                0.92574,                0.96858,                 0.7555,                0.96288,                0.61006,                 1.0064,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     45,                 0.7146,                0.37054,                0.90529,                0.96108,                0.92672,                0.96915,                0.75705,                0.96024,                0.61464,                 1.0084,               8.05e-05,               8.05e-05,               8.05e-05
                     46,                0.72327,                0.36593,                0.90655,                0.96302,                0.93083,                0.96984,                0.75605,                 0.9458,                0.59193,                0.99858,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     47,                0.70093,                0.34922,                0.89267,                0.96289,                0.93311,                 0.9709,                0.76333,                 0.9616,                0.59825,                 1.0037,              5.575e-05,              5.575e-05,              5.575e-05
                     48,                0.71283,                 0.3592,                0.90662,                0.96341,                0.93284,                0.97126,                0.75732,                0.96694,                0.59478,                 1.0043,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     49,                0.70537,                0.35636,                0.90072,                0.96199,                0.93701,                0.97264,                0.76247,                0.95835,                0.59118,                 1.0024,                3.1e-05,                3.1e-05,                3.1e-05
